dist,vel,acc
1.158, 29.6678, 7.82155, -90
1.159, 29.6756, 7.73155, -90
1.16, 29.6833, 7.64155, -90
1.161, 29.6909, 7.55155, -90
1.162, 29.6984, 7.46155, -90
1.163, 29.7058, 7.37155, -90
1.164, 29.7131, 7.28155, -90
1.165, 29.7204, 7.19155, -90
1.166, 29.7275, 7.10155, -90
1.167, 29.7346, 7.01155, -90
1.168, 29.7415, 6.92155, -90
1.169, 29.7484, 6.83155, -90
1.17, 29.7552, 6.74155, -90
1.171, 29.7619, 6.65155, -90
1.172, 29.7685, 6.56155, -90
1.173, 29.775, 6.47155, -90
1.174, 29.7815, 6.38155, -90
1.175, 29.7878, 6.29155, -90
1.176, 29.794, 6.20155, -90
1.177, 29.8002, 6.11155, -90
1.178, 29.8063, 6.02155, -90
1.179, 29.8122, 5.93155, -90
1.18, 29.8181, 5.84155, -90
1.181, 29.8239, 5.75154, -90
1.182, 29.8296, 5.66154, -90
1.183, 29.8352, 5.57154, -90
1.184, 29.8408, 5.48154, -90
1.185, 29.8462, 5.39154, -90
1.186, 29.8516, 5.30154, -90
1.187, 29.8568, 5.21154, -90
1.188, 29.862, 5.12154, -90
1.189, 29.8671, 5.03154, -90
1.19, 29.872, 4.94154, -90
1.191, 29.8769, 4.85154, -90
1.192, 29.8817, 4.76154, -90
1.193, 29.8865, 4.67154, -90
1.194, 29.8911, 4.58154, -90
1.195, 29.8956, 4.49154, -90
1.196, 29.9001, 4.40154, -90
1.197, 29.9044, 4.31154, -90
1.198, 29.9087, 4.22154, -90
1.199, 29.9129, 4.13154, -90
1.2, 29.917, 4.04204, -89
1.201, 29.921, 3.95354, -88
1.202, 29.9249, 3.86604, -87
1.203, 29.9287, 3.77954, -86
1.204, 29.9324, 3.69404, -85
1.205, 29.9361, 3.60954, -84
1.206, 29.9396, 3.52604, -83
1.207, 29.9431, 3.44354, -82
1.208, 29.9465, 3.36204, -81
1.209, 29.9499, 3.28154, -80
1.21, 29.9531, 3.20204, -79
1.211, 29.9563, 3.12354, -78
1.212, 29.9593, 3.04604, -77
1.213, 29.9623, 2.96954, -76
1.214, 29.9653, 2.89404, -75
1.215, 29.9681, 2.81954, -74
1.216, 29.9709, 2.74604, -73
1.217, 29.9736, 2.67354, -72
1.218, 29.9763, 2.60204, -71
1.219, 29.9788, 2.53154, -70
1.22, 29.9813, 2.46204, -69
1.221, 29.9838, 2.39354, -68
1.222, 29.9861, 2.32604, -67
1.223, 29.9884, 2.25954, -66
1.224, 29.9906, 2.19404, -65
1.225, 29.9928, 2.12954, -64
1.226, 29.9949, 2.06604, -63
1.227, 29.9969, 2.00354, -62
1.228, 29.9989, 1.94204, -61
1.229, 30.0008, 1.88154, -60
1.23, 30.0027, 1.82204, -59
1.231, 30.0045, 1.76354, -58
1.232, 30.0062, 1.70604, -57
1.233, 30.0079, 1.64954, -56
1.234, 30.0095, 1.59404, -55
1.235, 30.0111, 1.53954, -54
1.236, 30.0126, 1.48604, -53
1.237, 30.014, 1.43354, -52
1.238, 30.0154, 1.38204, -51
1.239, 30.0168, 1.33154, -50
1.24, 30.0181, 1.28204, -49
1.241, 30.0194, 1.23354, -48
1.242, 30.0206, 1.18604, -47
1.243, 30.0217, 1.13954, -46
1.244, 30.0228, 1.09404, -45
1.245, 30.0239, 1.04954, -44
1.246, 30.0249, 1.00604, -43
1.247, 30.0259, 0.963542, -42
1.248, 30.0269, 0.922042, -41
1.249, 30.0278, 0.881542, -40
1.25, 30.0286, 0.842042, -39
1.251, 30.0295, 0.803542, -38
1.252, 30.0302, 0.766042, -37
1.253, 30.031, 0.729542, -36
1.254, 30.0317, 0.694042, -35
1.255, 30.0324, 0.659542, -34
1.256, 30.033, 0.626042, -33
1.257, 30.0336, 0.593542, -32
1.258, 30.0342, 0.562042, -31
1.259, 30.0348, 0.531542, -30
1.26, 30.0353, 0.502042, -29
1.261, 30.0358, 0.473542, -28
1.262, 30.0362, 0.446042, -27
1.263, 30.0367, 0.419542, -26
1.264, 30.0371, 0.394042, -25
1.265, 30.0374, 0.369542, -24
1.266, 30.0378, 0.346042, -23
1.267, 30.0381, 0.323542, -22
1.268, 30.0384, 0.302042, -21
1.269, 30.0387, 0.281542, -20
1.27, 30.039, 0.262042, -19
1.271, 30.0393, 0.243542, -18
1.272, 30.0395, 0.226042, -17
1.273, 30.0397, 0.209542, -16
1.274, 30.0399, 0.194042, -15
1.275, 30.0401, 0.179542, -14
1.276, 30.0403, 0.166042, -13
1.277, 30.0404, 0.153542, -12
1.278, 30.0406, 0.142042, -11
1.279, 30.0407, 0.131542, -10
1.28, 30.0408, 0.122042, -9
1.281, 30.041, 0.113542, -8
1.282, 30.0411, 0.106042, -7
1.283, 30.0412, 0.0995421, -6
1.284, 30.0413, 0.0940421, -5
1.285, 30.0414, 0.0895421, -4
1.286, 30.0415, 0.0860421, -3
1.287, 30.0415, 0.0835421, -2
1.288, 30.0416, 0.0820421, -1
1.289, 30.0417, 0.0815421, 1.07102e-007
